
2023/11/19 (11:25:43) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/11/19 (23:02:01) | ===> btop++ v.1.2.13
2023/11/19 (23:02:01) | INFO: Logger set to DEBUG
2023/11/19 (23:02:01) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/19 (23:02:01) | INFO: Running on /dev/pts/2
2023/11/19 (23:02:01) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/11/19 (23:02:38) | ===> btop++ v.1.2.13
2023/11/19 (23:02:38) | INFO: Logger set to DEBUG
2023/11/19 (23:02:38) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/19 (23:02:38) | INFO: Running on /dev/pts/0
2023/11/19 (23:02:38) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/11/19 (23:08:10) | DEBUG: Writing new config file
2023/11/19 (23:08:10) | INFO: Quitting! Runtime: 00:05:32

2023/11/20 (00:06:05) | ===> btop++ v.1.2.13
2023/11/20 (00:06:05) | INFO: Logger set to DEBUG
2023/11/20 (00:06:05) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/20 (00:06:05) | INFO: Running on /dev/pts/1
2023/11/20 (00:06:05) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/11/21 (16:27:07) | ===> btop++ v.1.2.13
2023/11/21 (16:27:07) | INFO: Logger set to DEBUG
2023/11/21 (16:27:07) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/21 (16:27:07) | INFO: Running on /dev/pts/0
2023/11/21 (16:27:07) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/11/21 (16:30:18) | DEBUG: Writing new config file
2023/11/21 (16:30:18) | INFO: Quitting! Runtime: 00:03:11

2023/11/21 (16:47:30) | ===> btop++ v.1.2.13
2023/11/21 (16:47:30) | INFO: Logger set to DEBUG
2023/11/21 (16:47:30) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/21 (16:47:30) | INFO: Running on /dev/pts/4
2023/11/21 (16:47:30) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/11/22 (00:03:34) | ===> btop++ v.1.2.13
2023/11/22 (00:03:34) | INFO: Logger set to DEBUG
2023/11/22 (00:03:34) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/22 (00:03:34) | INFO: Running on /dev/pts/1
2023/11/22 (00:03:34) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/11/24 (00:12:42) | ===> btop++ v.1.2.13
2023/11/24 (00:12:42) | INFO: Logger set to DEBUG
2023/11/24 (00:12:42) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/24 (00:12:42) | INFO: Running on /dev/pts/0
2023/11/24 (00:12:42) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/11/24 (00:13:03) | INFO: Quitting! Runtime: 00:00:21

2023/11/24 (13:57:45) | ===> btop++ v.1.2.13
2023/11/24 (13:57:45) | INFO: Logger set to DEBUG
2023/11/24 (13:57:45) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/24 (13:57:45) | INFO: Running on /dev/pts/0
2023/11/24 (13:57:45) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme
2023/11/24 (13:57:53) | INFO: Quitting! Runtime: 00:00:08

2023/11/27 (11:05:24) | ===> btop++ v.1.2.13
2023/11/27 (11:05:24) | INFO: Logger set to DEBUG
2023/11/27 (11:05:24) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/11/27 (11:05:24) | INFO: Running on /dev/pts/0
2023/11/27 (11:05:24) | DEBUG: Loading theme file: /home/vedant/.config/btop/themes/catppuccin_mocha.theme

2023/12/07 (00:46:04) | ===> btop++ v.1.2.13
2023/12/07 (00:46:04) | INFO: Logger set to DEBUG
2023/12/07 (00:46:04) | DEBUG: Setting LC_ALL=en_IN.UTF-8
2023/12/07 (00:46:04) | INFO: Running on /dev/pts/1
